567	天桥	18	200
568	天桥	22	650
569	市中	120	4200
570	市中	95	3500
571	历下	80	2300
572	历城	90	1000
573	市中	22	600
574	长清	100	1000
575	历城	69	1200
576	天桥	60	2000
577	槐荫	116	2700
578	槐荫	115	2200
579	天桥	20	780
580	历城	23	680
581	天桥	18	200
582	天桥	22	650
583	市中	120	4200
584	市中	95	3500
585	历下	80	2300
586	高新	20	750
587	槐荫	66	1600
588	槐荫	110	2600
589	天桥	100	2700
590	市中	38	1500
591	槐荫	95	2100
592	历城	209	580
593	高新	30	1299
594	高新	20	800
595	历城	98	1500
596	历下	22	1200
597	槐荫	60	2100
598	历下	93	3200
599	高新	65	1500
600	历下	85	3800
601	高新	40	1399
602	高新	20	650
603	历城	15	450
604	高新	90	2450
605	天桥	30	650
606	历城	130	1700
607	历城	16	750
608	历城	23	880
609	高新	20	650
610	历城	23	750
611	历城	91	1400
612	天桥	22	800
613	天桥	58	1700
614	槐荫	120	1500
615	市中	92	2400
616	历下	40	1300
617	市中	111	2000
618	天桥	84	1600
619	槐荫	50	1400
620	历下	93	3000
621	市中	114	2900
622	历城	67	1200
623	高新	30	800
624	高新	10	350
625	天桥	30	750
626	天桥	95	1800
627	槐荫	70	1900
628	历城	100	1500
629	高新	20	750
630	槐荫	100	1600
631	槐荫	134	3500
632	天桥	20	560
633	槐荫	98	1700
634	天桥	143	3000
635	槐荫	116	1300
636	天桥	90	1900
637	槐荫	20	480
638	历下	93	3000
639	市中	114	2900
640	历城	67	1200
641	天桥	30	750
642	天桥	95	1800
643	槐荫	70	1900
644	高新	40	850
645	高新	20	900
646	高新	30	1299
647	历城	100	1500
648	市中	107	3500
649	历下	15	650
650	历下	31	1700
651	市中	47	1200
652	市中	92	3150
653	高新	20	999
654	天桥	80	1200
655	槐荫	100	1500
656	槐荫	45	1600
657	高新	93	2800
658	市中	50	1600
659	市中	135	3800
660	高新	30	950
661	高新	20	700
662	历下	93	3500
663	市中	35	1300
664	历城	47	1200
665	历城	22	900
666	市中	48	1600
667	槐荫	21	1000
668	高新	20	888
669	高新	30	1399
670	历城	30	700
671	槐荫	94	1600
672	槐荫	101	2000
673	天桥	90	1300
